4.25;4.25;4.25;4.25;2.25;54;23;54;23;2;3.5;2;1.00;7;1;3.00;6;3
4.25;4.25;4.25;4.25;1.25;54;23;54;23;2;3.5;2;2.25;7;1;4.75;6;3
4.25;4.25;4.25;4.25;1.00;54;23;54;23;2;3.5;2;2.50;7;1;2.00;6;3
4.25;4.25;4.25;4.25;1.25;54;23;54;23;2;3.5;2;2.75;7;1;4.75;6;3
4.25;4.25;4.25;4.25;2.50;54;23;54;23;2;3.5;2;1.25;7;1;3.00;6;3
4.25;4.25;4.25;4.25;2.00;54;23;54;23;2;3.5;2;3.00;7;1;4.25;6;3
4.25;4.25;4.25;4.25;2.00;54;23;54;23;2;3.5;2;2.50;7;1;4.75;6;3
4.25;4.25;4.25;4.25;3.00;54;23;54;23;2;3.5;2;2.50;7;1;4.75;6;3
4.25;4.25;4.25;4.25;2.50;54;23;54;23;2;3.5;2;2.75;7;1;4.25;6;3
4.25;4.25;4.25;4.25;2.75;54;23;54;23;2;3.5;2;1.25;7;1;3.50;6;3
4.25;4.25;4.25;4.25;3.00;54;23;54;23;2;3.5;2;1.50;7;1;3.75;6;3
4.25;4.25;4.25;4.25;3.00;54;23;54;23;2;3.5;2;1.25;7;1;2.75;6;3
4.25;4.25;4.25;4.25;2.75;54;23;54;23;2;3.5;2;2.00;7;1;3.25;6;3
4.25;4.25;4.25;4.25;1.25;54;23;54;23;2;3.5;2;1.25;7;1;2.50;6;3
4.25;4.25;4.25;4.25;2.50;54;23;54;23;2;3.5;2;1.00;7;1;2.50;6;3